customer_id,date,transaction_amount,plan_type,churn,issuing_date,customer_tenure,total_transactions,avg_transaction,std_transaction,max_transaction,min_transaction,prev_transaction,transaction_trend,inactive_months,first_transaction,last_transaction,days_since_last_txn,rolling_avg_3m,rolling_avg_6m,first_plan,last_plan,plan_switch_count,premium_ratio,standard_ratio,basic_ratio,is_downgraded,is_upgraded,cumulative_transaction,transaction_level
CUST_1,2023-01-01,193.524658235208,Basic,0,2021-03-01,671,12,223.20065622764457,120.5442941726099,417.896893992207,38.46096996241769,,,0.0,2023-01-01,2023-12-01,91,193.524658235208,193.524658235208,Basic,Basic,2,0.25,0.5,0.25,0,0,193.524658235208,1
CUST_1,2023-02-01,303.342657256548,Standard,0,2021-03-01,702,12,223.20065622764457,120.5442941726099,417.896893992207,38.46096996241769,193.524658235208,109.81799902134003,1.0333333333333334,2023-01-01,2023-12-01,91,248.433657745878,248.433657745878,Basic,Basic,2,0.25,0.5,0.25,0,0,496.867315491756,4
CUST_1,2023-03-01,38.46096996241769,Standard,0,2021-03-01,730,12,223.20065622764457,120.5442941726099,417.896893992207,38.46096996241769,303.342657256548,-264.8816872941303,0.9333333333333333,2023-01-01,2023-12-01,91,178.4427618180579,178.4427618180579,Basic,Basic,2,0.25,0.5,0.25,0,0,535.3282854541737,5
CUST_1,2023-04-01,356.955563120062,Premium,0,2021-03-01,761,12,223.20065622764457,120.5442941726099,417.896893992207,38.46096996241769,38.46096996241769,318.4945931576443,1.0333333333333334,2023-01-01,2023-12-01,91,232.91973011300922,223.07096214355892,Basic,Basic,2,0.25,0.5,0.25,0,1,892.2838485742357,8
CUST_1,2023-05-01,417.896893992207,Standard,0,2021-03-01,791,12,223.20065622764457,120.5442941726099,417.896893992207,38.46096996241769,356.955563120062,60.941330872145045,1.0,2023-01-01,2023-12-01,91,271.1044756915622,262.03614851328854,Basic,Basic,2,0.25,0.5,0.25,1,0,1310.1807425664426,13
CUST_1,2023-06-01,223.20065622764457,Premium,0,2021-03-01,822,12,223.20065622764457,120.5442941726099,417.896893992207,38.46096996241769,417.896893992207,-194.69623776456245,1.0333333333333334,2023-01-01,2023-12-01,91,332.6843711133045,255.56356646568122,Basic,Basic,2,0.25,0.5,0.25,0,1,1533.3813987940873,15
CUST_1,2023-07-01,221.653059134637,Standard,0,2021-03-01,852,12,223.20065622764457,120.5442941726099,417.896893992207,38.46096996241769,223.20065622764457,-1.5475970930075675,1.0,2023-01-01,2023-12-01,91,287.5835364514962,260.2516332822527,Basic,Basic,2,0.25,0.5,0.25,1,0,1755.0344579287244,17
CUST_1,2023-08-01,78.3519917195005,Standard,0,2021-03-01,883,12,223.20065622764457,120.5442941726099,417.896893992207,38.46096996241769,221.653059134637,-143.30106741513652,1.0333333333333334,2023-01-01,2023-12-01,91,174.40190236059402,222.7531890260781,Basic,Basic,2,0.25,0.5,0.25,0,0,1833.3864496482247,18
CUST_1,2023-09-01,233.474292266348,Premium,0,2021-03-01,914,12,223.20065622764457,120.5442941726099,417.896893992207,38.46096996241769,78.3519917195005,155.1223005468475,1.0333333333333334,2023-01-01,2023-12-01,91,177.8264477068285,255.2554094100665,Basic,Basic,2,0.25,0.5,0.25,0,1,2066.860741914573,20
CUST_1,2023-10-01,261.97487482267,Standard,1,2021-03-01,944,12,223.20065622764457,120.5442941726099,417.896893992207,38.46096996241769,233.474292266348,28.50058255632203,1.0,2023-01-01,2023-12-01,91,191.26705293617283,239.42529469383453,Basic,Basic,2,0.25,0.5,0.25,1,0,2328.8356167372426,23
